Gene	correlation	p_value	mean_CN	mean_exp	delta_CN	delta_exp
PDIK1L	0.0552426302910451	0.683167552367001	2.33333333333333	4.22484721931674	3	6.49461483342422
FAM110D	-0.0366519914717032	0.786639578606176	2.33333333333333	3.01982211740402	3	0.85277084700239
CNKSR1	0.159321297505816	0.236500112137656	2.33333333333333	4.90978545172422	3	5.91178616609189
CATSPER4	-0.173549156361119	0.19668235324369	2.33333333333333	3.05814811985437	3	0.548477878670866
CEP85	0.0350420024199484	0.795805363068646	2.33333333333333	4.68428054048416	3	7.13641962066828
SH3BGRL3	0.261671356762589	0.0492738676488035	2.33333333333333	5.49076067902413	3	5.77523234731461
UBXN11	-0.035225840135005	0.7947573495696	2.33333333333333	4.03657727875386	3	3.96339143415858
ZNF683	0.101637181500434	0.45187368993497	2.33333333333333	3.05501785426681	3	0.909244631500636
LIN28A	-0.113271107360605	0.401504803966048	2.33333333333333	3.11279585772757	3	0.762387301912758
DHDDS	-0.00801760847429768	0.952799593198714	2.33333333333333	5.68904482661075	3	6.67004791538832
HMGN2	0.256581757502441	0.0540267555023709	2.33333333333333	6.38549969578231	3	6.66435062081474
RPS6KA1	0.293264797909848	0.026830385787201	2.33333333333333	4.35304686990993	3	5.06880330106385
ARID1A	-0.265147313836783	0.0462282913430419	2.33333333333333	6.89738591364918	3	4.52597749504792
PIGV	-0.00514783154329012	0.969684123947001	2.33333333333333	3.24450678531433	3	1.31664485362968
ZDHHC18	0.0510655537324228	0.705994246586065	2.33333333333333	4.5447103325807	3	6.24964265745686
SFN	0.248511442668501	0.0623199211325105	2.33333333333333	5.59297699514795	3	5.45728874513105
GPN2	0.00824339776065407	0.951471923890531	2.33333333333333	4.2041300689	3	5.24299492315723
GPATCH3	0.0816955540428748	0.545754274424236	2.33333333333333	4.11552200636211	3	5.66203727108836
NUDC	0.500826761252566	7.25571906630329e-05	2.33333333333333	7.89026668453349	3	4.65033123007398
TRNP1	-0.0422023709338485	0.755267846496015	2.33333333333333	3.50442691507781	3	3.87883612814613
SLC9A1	0.114335983549567	0.397064433433425	2.33333333333333	5.72248252339493	3	5.61762229939581
WDTC1	0.242023153817356	0.0697049515241131	2.33333333333333	4.94987076397687	3	5.93015281452762
TMEM222	0.138841772679732	0.303006076018868	2.33333333333333	4.86616594377251	3	4.44390643182938
SYTL1	0.309317858980657	0.0192168092745278	2.33333333333333	4.71780800515153	3	6.34797925586656
MAP3K6	0.230028044074063	0.0851846051090606	2.33333333333333	4.25491913164777	3	4.52286442274087
FCN3	0.0962308898549029	0.476411197345683	2.33333333333333	3.09783967508744	3	0.97740166615927
CD164L2	-0.0865035787561013	0.522289739012401	2.33333333333333	3.01820532226827	3	0.735692607777249
GPR3	0.0857820255386901	0.525778691348621	2.33333333333333	3.31726308145989	3	2.42378712825231
WASF2	0.1114737995142	0.409064690085001	2.33333333333333	7.67342800353298	3	5.87670225033662
AHDC1	-0.226732776980708	0.0898788449521277	2.33333333333333	5.71304889255516	3	6.06769872562351
FGR	0.0568917036920795	0.674231411231115	2.33333333333333	3.17170519209942	3	1.58646603068099
IFI6	0.309731742768361	0.0190477789295652	2.33333333333333	5.73889985860991	3	5.97734651078333
FAM76A	-0.0585277730882876	0.665409676686261	2.33333333333333	4.21492495971622	3	4.47664228228741
STX12	0.245544348915888	0.0656149445279532	2.33333333333333	6.39983685984149	3	6.1176535140458
PPP1R8	0.0258441992764017	0.848659999814413	2.33333333333333	5.17331044142666	3	7.83959305238293
THEMIS2	0.565710730545156	4.52626759174044e-06	2.33333333333333	3.66469642783547	3	4.6172956765661
RPA2	0.244001733930638	0.0673824200181365	2.33333333333333	4.61078698674931	3	5.67449948127564
SMPDL3B	-0.0919425582206853	0.496368093273294	2.33333333333333	3.12376372560814	3	1.78672005112487
XKR8	-0.108467350172234	0.421892944421822	2.33333333333333	3.4737845603276	3	2.14783159268238
EYA3	0.0890471209685823	0.510083845930749	2.33333333333333	5.68927563147091	3	5.73010368663427
